REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected,Houses_damaged,Houses_destroyed
Eastern,AF15,Kunar,AF1507,Dara-e-Pech,17-06-2022,Flood / flash flood,0,0,4,28,4,0
Eastern,AF15,Kunar,AF1510,Khaskunar,17-06-2022,Flood / flash flood,0,0,31,217,31,0
Eastern,AF15,Kunar,AF1504,Narang,17-06-2022,Flood / flash flood,0,0,17,108,17,0
Eastern,AF15,Kunar,AF1515,Nari,17-06-2022,Flood / flash flood,0,0,11,77,11,0
Eastern,AF15,Kunar,AF1512,Dangam,17-06-2022,Flood / flash flood,0,0,20,140,20,0
Eastern,AF15,Kunar,AF1509,Chawkay,17-06-2022,Flood / flash flood,0,0,6,52,6,0
Eastern,AF15,Kunar,AF1502,Marawara,17-06-2022,Flood / flash flood,0,0,67,469,67,0
Eastern,AF15,Kunar,AF1505,Sarkani,17-06-2022,Flood / flash flood,0,0,23,158,23,0
Eastern,AF15,Kunar,AF1513,Chapadara,17-06-2022,Flood / flash flood,3,14,172,1204,0,172
North Eastern,AF17,Badakhshan,AF1716,Warduj,18-06-2022,Flood / flash flood,0,0,10,39,8,2
Eastern,AF15,Kunar,AF1505,Sarkani,18-06-2022,Flood / flash flood,0,0,4,24,4,0
North Eastern,AF17,Badakhshan,AF1706,Baharak,18-06-2022,Flood / flash flood,0,0,18,92,11,7
Eastern,AF15,Kunar,AF1508,Barkunar,18-06-2022,Flood / flash flood,0,0,6,42,6,0
North Eastern,AF17,Badakhshan,AF1702,Argo,18-06-2022,Flood / flash flood,0,0,7,54,7,0
Eastern,AF15,Kunar,AF1507,Dara-e-Pech,18-06-2022,Flood / flash flood,0,0,4,28,4,0
Eastern,AF15,Kunar,AF1505,Sarkani,18-06-2022,Flood / flash flood,0,0,13,98,13,0
North Eastern,AF17,Badakhshan,AF1711,Teshkan,19-06-2022,Flood / flash flood,0,0,30,180,30,0
North Eastern,AF17,Badakhshan,AF1706,Baharak,19-06-2022,Flood / flash flood,0,0,18,110,0,18
North Eastern,AF19,Kunduz,AF1905,Emamsaheb,20-06-2022,Flood / flash flood,0,0,6,40,4,2
North Eastern,AF18,Takhar,AF1801,Taloqan,20-06-2022,Flood / flash flood,0,0,2,16,0,2
North Eastern,AF18,Takhar,AF1810,Rostaq,20-06-2022,Flood / flash flood,2,0,1,2,0,0
North Eastern,AF19,Kunduz,AF1905,Emamsaheb,21-06-2022,Flood / flash flood,0,0,6,42,0,6
South Eastern,AF12,Paktika,AF1212,Ziruk,22-06-2022,Earthquake,0,0,51,346,33,18
South Eastern,AF12,Paktika,AF1212,Ziruk,22-06-2022,Earthquake,0,0,13,88,10,3
South Eastern,AF12,Paktika,AF1212,Ziruk,22-06-2022,Earthquake,0,0,8,44,7,1
South Eastern,AF12,Paktika,AF1212,Ziruk,22-06-2022,Earthquake,0,0,32,210,26,6
South Eastern,AF12,Paktika,AF1212,Ziruk,22-06-2022,Earthquake,0,0,37,229,13,24
South Eastern,AF12,Paktika,AF1212,Ziruk,22-06-2022,Earthquake,2,0,53,356,34,19
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,5,185,969,150,35
South Eastern,AF12,Paktika,AF1212,Ziruk,22-06-2022,Earthquake,0,0,26,156,6,20
South Eastern,AF12,Paktika,AF1212,Ziruk,22-06-2022,Earthquake,0,0,37,229,13,24
South Eastern,AF12,Paktika,AF1212,Ziruk,22-06-2022,Earthquake,0,0,39,268,23,16
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,7,49,5,2
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,1,10,13,108,3,10
South Eastern,AF12,Paktika,AF1212,Ziruk,22-06-2022,Earthquake,0,0,48,340,25,23
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,10,50,3,7
South Eastern,AF12,Paktika,AF1212,Ziruk,22-06-2022,Earthquake,0,0,26,190,18,8
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,25,170,20,5
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,3,0,27,186,17,10
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,24,216,5,19
South Eastern,AF12,Paktika,AF1215,Gyan,22-06-2022,Earthquake,0,0,24,243,3,21
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,0,45,327,25,20
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,4,103,1004,80,23
South Eastern,AF14,Khost,AF1411,Spera,22-06-2022,Earthquake,0,5,99,685,99,0
